时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展现费用,点赞,评论,收藏,关注,分享,互动量,平均互动成本,行动按钮点击量,行动按钮点击率,截图,保存图片,预告组件点击,直播预约人次,直播预约成本,搜索组件点击量,搜索组件点击转化率,平均搜后阅读笔记篇数,搜后阅读量,新增种草人群,新增种草人群成本,新增深度种草人群,新增深度种草人群成本,直播间支付订单量,直播间支付订单成本,直播间支付金额,直播间支付ROI,多转化人数（添加企微+私信咨询）,多转化成本（添加企微+私信咨询）,多转化人数（添加企微成功+私信留资）,多转化成本（私信留资+添加企微成功）
14/08/2025,328.99,3754,204,5.43%,1.61,87.64,1,0,1,1,0,3,109.66,2,0.98%,0,5,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,65.8,3,109.66
15/08/2025,272.74,3685,181,4.91%,1.51,74.01,0,0,0,0,0,0,0,1,0.55%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,4,68.19,3,90.91
16/08/2025,172.81,2992,132,4.41%,1.31,57.76,0,1,0,1,1,3,57.6,0,0.00%,7,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,3,57.6,0,0
17/08/2025,398.94,3990,214,5.36%,1.86,99.98,1,0,4,2,2,9,44.33,4,1.87%,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,6,66.49,4,99.74
18/08/2025,428.99,3434,200,5.82%,2.14,124.92,0,1,1,2,0,4,107.25,3,1.50%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,85.8,3,143
19/08/2025,435.54,3675,175,4.76%,2.49,118.51,2,0,2,1,0,5,87.11,2,1.14%,5,1,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,6,72.59,0,0
20/08/2025,499.12,3008,157,5.22%,3.18,165.93,2,1,1,1,0,5,99.82,4,2.55%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,6,83.19,5,99.82
21/08/2025,414.62,3098,149,4.81%,2.78,133.83,2,1,1,1,0,5,82.92,2,1.34%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,6,69.1,4,103.66
22/08/2025,198.9,3080,135,4.38%,1.47,64.58,1,0,3,0,0,4,49.73,1,0.74%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,99.45,1,198.9
23/08/2025,419.39,3307,178,5.38%,2.36,126.82,1,0,1,0,0,2,209.7,3,1.69%,4,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,83.88,1,419.39
24/08/2025,358.14,3123,191,6.12%,1.88,114.68,0,0,0,0,0,0,0,1,0.52%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,9,39.79,5,71.63
25/08/2025,258.09,3969,200,5.04%,1.29,65.03,0,0,0,2,0,2,129.04,0,0.00%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,129.04,2,129.04
26/08/2025,441.31,3671,153,4.17%,2.88,120.22,2,0,0,1,0,3,147.1,1,0.65%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,7,63.04,2,220.66
27/08/2025,431.78,3343,164,4.91%,2.63,129.16,2,0,0,1,0,3,143.93,5,3.05%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,7,61.68,5,86.36
28/08/2025,235.11,2790,130,4.66%,1.81,84.27,0,0,2,0,0,2,117.56,1,0.77%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,3,78.37,1,235.11
29/08/2025,221.36,2805,139,4.96%,1.59,78.92,3,0,2,0,0,5,44.27,2,1.44%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,221.36,0,0
30/08/2025,294.52,3611,172,4.76%,1.71,81.56,1,0,1,0,0,2,147.26,1,0.58%,2,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,4,73.63,2,147.26
31/08/2025,208.36,3443,176,5.11%,1.18,60.52,2,0,0,0,0,2,104.18,1,0.57%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,208.36,0,0
1/09/2025,324.51,4145,193,4.66%,1.68,78.29,3,0,0,0,0,3,108.17,1,0.52%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,4,81.13,3,108.17
2/09/2025,325.7,3960,190,4.80%,1.71,82.25,2,2,2,3,0,9,36.19,1,0.53%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,3,108.57,0,0
3/09/2025,403.54,3869,155,4.01%,2.6,104.3,0,0,0,2,0,2,201.77,2,1.29%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,7,57.65,5,80.71
4/09/2025,253.05,4646,180,3.87%,1.41,54.47,1,2,1,0,1,5,50.61,5,2.78%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,6,42.18,3,84.35
5/09/2025,398.09,4289,207,4.83%,1.92,92.82,2,0,2,1,0,5,79.62,5,2.42%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,79.62,1,398.09
6/09/2025,215,4037,174,4.31%,1.24,53.26,2,1,0,2,0,5,43,1,0.57%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,107.5,1,215
7/09/2025,235.51,4221,193,4.57%,1.22,55.79,1,0,1,3,0,5,47.1,1,0.52%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,3,78.5,0,0
8/09/2025,359.07,3183,175,5.50%,2.05,112.81,0,1,4,1,1,7,51.3,1,0.57%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,4,89.77,2,179.54
9/09/2025,306.74,2717,127,4.67%,2.42,112.9,2,0,2,3,0,7,43.82,2,1.57%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,61.35,1,306.74
